Sentence,Topic,Indices,ArgumentIndices,Move,RValue,Class,SentenceId,Set,DocId,PredictedArgument,CoarseClass
"But while some states are starting legal marijuana sales , other states are arguing over marijuana legalization , and still others are arresting people . Studies have linked marijuana use to everything from weight loss , to treating depression , battling cancer , and resolving “ untreatable ” seizure disorders . Nationwide in that same time , marijuana arrests have increased more than 250 % , going from 326,850 to more than 850,000 , and nearly 90 % of those arrests are for possession .",marijuana legalization,"[(0, 25), (25, 50), (50, 85)]","[(30, 50)]",m1,0.8,IMP,C1.1077,train,doc_4201,"to everything from weight loss , to treating depression , battling cancer , and resolving “ untreatable ” seizure disorders",DISP
"But taking the easy way out implies avoiding having to deal with real problems . It is much more palatable to be against executions when the executed is innocent or had an unfair trial or is mentally unfit . Life is a gift given by God , so only God can take it away . Sen. Rona Kramer said she had been giving “ very serious consideration to complete repeal ” but decided limiting the death penalty was a better option ( “ Senate OKs Limits on Use of Death Penalty , ” Baltimore Sun , March 5 , 2009 ) .",death penalty,"[(0, 15), (15, 29), (29, 39), (39, 54), (54, 102)]","[(15, 52)]",m2,0.729,MG,C3.811,train,doc_2776,"It is much more palatable to be against executions when the executed is innocent or had an unfair trial or is mentally unfit . Life is a gift given by God , so only God can take",MG
"Setting a high tax rate or imposing hefty capital requirements could serve as barriers for current small-scale marijuana producers to enter the legal market , Crawford said . Further , once marijuana is legalized , it will become exceedingly easy for young people to gain access to it . As personal injuries increase , Lavallee said , he believes more people will be receiving medical benefits and insurance companies will have lawsuit settlements to deal with as a result .",marijuana legalization,"[(0, 30), (30, 48), (48, 80)]","[(30, 39)]",m1,0.5,SP,C1.1205,train,doc_4812,"once marijuana is legalized , it will become exceedingly",SP
"DOC must annually review the confinement conditions of someone placed in a housing unit for the maximum security population . In the next three paragraphs , it will prove that without this system , we will have no control over our justice system . Although one has to register to gain access to the help , registration is free and the resources extensive , including litigation guides , jury instructions , verdict forms , a motions bank , and research files , just to name a few .",death penalty,"[(0, 30), (30, 43), (43, 88)]","[(30, 36)]",m1,0.462,SP,C1.579,train,doc_2073,"without this system , we will",SP
"A substantial number of states require that a minor obtain parental consent prior to obtaining an abortion . It might solve it for the parents but is not abortion the ultimate abuse of a child ? Carefully avoiding a position on abortion itself , Women at Risk seeks to be open to both pro-life and pro-choice women and groups who truly want to protect women from abortion trauma .",abortion,"[(0, 26), (26, 35), (35, 69)]","[(19, 35)]",m6,0.444,SP,C1.161,train,doc_805,might solve it for the parents but is not abortion the ultimate abuse of a child,SP
"The authors look at restaurant employment because this industry employs large numbers of minimum wage workers33 percent of restaurant workers earn within 10 percent of the minimum wage , and 30 percent of minimum wage workers work in restaurants . It is the combined earnings of two or more earners that typically provides total household income . Recent increases in the ratio of minimum wage to average hourly earnings When looking at changes over time , the minimum wage is sometimes expressed as a ratio of the average hourly earnings .",minimum wage,"[(0, 40), (40, 57), (57, 91)]","[(53, 76)]",-,0.0,MU,C2.1576,train,doc_5615,"total household income . Recent increases in the ratio of minimum wage to average hourly earnings When looking at changes over time ,",MU
"In order for a school to be successful it must meet the minimum requirements of being safe and well disciplined . Finally , there has not been any official case studies conducted that prove that school uniforms can prevent teenage violence . Earning their reputation as the most trusted source for boys and girls school uniforms , Cookie 's Kids now supplies more schools than ever .",school uniforms,"[(0, 23), (23, 41), (41, 67)]","[(28, 41)]",m1,0.722,IMP,C1.2847,test,doc_7854,official case studies conducted that prove that school uniforms can prevent teenage violence,DISP
"For many pro-gun independents , Obama is not seen as a real threat to gun rights . ack your home knowing that you do not own a gun and therefore you can not harm them . ary Guns With single-action trigger to precisely control the air /paint mix , being particularly suitable for detail design work and easy",gun control,"[(0, 17), (17, 36), (36, 58)]","[(17, 26)]",m1,0.474,SP,C1.2546,train,doc_3933,ack your home knowing that you do not own,SP
"Recent increases in the ratio of minimum wage to average hourly earnings When looking at changes over time , the minimum wage is sometimes expressed as a ratio of the average hourly earnings . Applied to the minimum wage , this means that employers will have a greater response to an increase in labor price over the long run . That year , though , Congressional Republicans wouldn ’ t support a minimum wage hike unless the minimum wage for tipped employees remained the same .",minimum wage,"[(0, 43), (43, 59), (59, 86)]","[(47, 59)]",m1,0.75,IMP,C1.1348,train,doc_5053,greater response to an increase in labor price over the long run,DISP
"Real and effective solutions are possible , but achieving them will be a tough battle . Of course gun control advocates may disagree with the notion that putting guns back into the hands of citizens would halt the majority of crimes . Citizens are greatly affected by the laws enacted by the government and it is hoped that they are working in the best interest of its citizens .",gun control,"[(0, 27), (27, 41), (41, 69)]","[(27, 34)]",m1,0.5,SP,C1.2667,train,doc_3740,putting guns back into the hands of,SP
"Some of the States / Union Territories are yet to fix minimum rates of wages for some of the scheduled employments ( new or already existing ) and the names of such employments are also featuring in this Table . Minimum wage opponents have raised the alarm that in times of economic downturn , or high inﬂation , price-based indexing will cause the minimum wage to reach excessive levels that will cause job loss and further drive up inﬂation . Today , the tipped minimum wage equals just 29 percent of the full minimum wage , the lowest share since the tipped minimum wage was established .",minimum wage,"[(0, 48), (48, 79), (79, 107)]","[(48, 63)]",m1,0.484,SP,C1.1579,train,doc_5797,"in times of economic downturn , or high inﬂation , price-based indexing will cause the",SP
"The House of Representatives also has approved a controversial `` heartbeat bill '' which would ban abortion once a fetal heartbeat is detected . It helps people to get rid of undesirable children . Ann Furedi , chief executive of bpas , said : ‘ It is notable that numbers have remained stable despite increasing investment in and promotion of longer-term methods of contraception .",abortion,"[(0, 24), (24, 33), (33, 65)]","[(14, 33)]",m3,0.474,MISP,C1.39,train,doc_57,would ban abortion once a fetal heartbeat is detected . It helps people to get rid of undesirable children,DISP
"d implemented the school uniform policy , Clinton found several , did indeed , have success wit Some parents believe it is an easy cash grab for companies that make school uniforms . A disciplinarian is not necesarily a good teacher , but unless a teacher can control his class room , it will be impossible to teach no matter how learned he is .",school uniforms,"[(0, 17), (17, 32), (32, 65)]","[(17, 24)]",m1,0.467,SP,C1.2334,train,doc_7718,Some parents believe it is an easy,SP
"n. “ Conditions are ripe for us to see significant pro-life advances , particularly in the next two yea The following article describes some of the ways in which abortion has a greater and more substantial harmful impact on adolescents compared with older women . Apparently , not all respondents were sure that the information they provided would be kept confidential ; in addition , privacy may not be the only factor that influences a woman 's decision or ability to report her abortions .",abortion,"[(0, 29), (29, 44), (44, 85)]","[(29, 44)]",-,1.0,PM,C1.155,train,doc_796,abortion has a greater and more substantial harmful impact on adolescents compared with older women,PM
"Are there not data to show that improved attendance and retention of educators are themselves catalysts to improved achievement ? With school uniforms , they could also mistake one another for someone who they 're not . An easy fit with a touch of stretch offers her comfort throughout her day , while the faded wash and permanent cuffed hems give these long jean shorts their cute appeal .",school uniforms,"[(0, 24), (24, 36), (36, 69)]","[(24, 36)]",-,1.0,PM,C1.2439,train,doc_7867,they could also mistake one another for someone who they 're not,PM
"The large quantity of hydrogen that would be required for this concept should be produced without consuming fossil fuels or emitting greenhouse gases . alone , nuclear energy prevents the emissions of about 697 million metric tons of carbon dioxide . Nuclear power plants routinely release small amounts of radioactive isotopes during operation and they can release large amounts during accidents . “ The problems that are seen as significant , such as the upcoming gap in supplies , will occur much sooner than anticipated .",nuclear energy,"[(0, 26), (26, 40), (40, 41), (41, 61), (61, 86)]","[(24, 53)]",m8,0.897,MG,C3.1901,train,doc_6270,"alone , nuclear energy prevents the emissions of about 697 million metric tons of carbon dioxide . Nuclear power plants routinely release small amounts of radioactive isotopes during operation",MG
"If only gun death statistics had been given the seriousness they deserved , the gun control debate would long have been settled in favor of making the gun control laws tighter . May reduce the severity or frequency of menstrual migraines * Can improve bleeding and pain associated with endometriosis and fibroids * The polling indicates some areas where President Barack Obama ’ s promised push for new measures to combat gun-related violence could prevail .",gun control,"[(0, 32), (32, 53), (53, 76)]","[(33, 44)]",-,0.0,MU,C2.2120,train,doc_3343,reduce the severity or frequency of menstrual migraines * Can improve,MU
"Bureau of Labor Statistics for next decade are low-wage jobs , including home health aides , customer service representatives , food preparation and service workers , personal and home care aides , retail salespersons , and office clerks . areas considered as hardship areas by employees will attract more willing ... over minimum wage jobs Over minimum wage jobs",minimum wage,"[(0, 46), (46, 51), (51, 59)]","[(46, 49)]",m4,0.6,MISP,C1.1484,train,doc_5231,will attract more,DISP
"ormation on gun violence ; Cases involving gun violence ; Background information In over half the states , all non-felons are able to obtain licenses to carry concealed weapons . Regardless of how many tragedies occur due to gun violence , it appears that the strength of the Second Amendment becomes stronger than ever .",gun control,"[(0, 12), (12, 29), (29, 55)]","[(12, 29)]",-,1.0,PM,C1.2482,train,doc_3772,"In over half the states , all non-felons are able to obtain licenses to carry concealed weapons",PM
"For example : # zfs destroy tank/home/matt/bug123 Clones must be destroyed before the parent snapshot can be destroyed . While factors such as intellect and mood may not be as important for a cow or a mouse , they are crucial for the development of healthy cloned humans . About Creating and Deploying a Full Clone or a Delta Clone A clone that you create and deploy can be either a full clone or a delta clone , as follows :",cloning,"[(0, 19), (19, 49), (49, 81)]","[(58, 74)]",-,0.0,MU,C2.803,train,doc_1647,Delta Clone A clone that you create and deploy can be either a full clone or,MU
"s.The Teflon coated fabric offers water repellent , and wind and stain resistance for easy maintenance , and keeps the fabric looking new longe Another reason for the rise of school uniforms could be the budgetary benefits they offer parents , especially in the current state of the down economy . Whilst schools may not get a direct kick per sale , could you enlighten us on how schools come to appoint EXCLUSIVE distributor rights , does any money etc .",school uniforms,"[(0, 34), (34, 40), (40, 81)]","[(34, 37)]",m2,0.5,SP,C1.2826,test,doc_7994,the budgetary benefits,SP
"Popular DVD Clone is a most popular powerful dvd movie clone software . For example , what previously was a primary clone may be offline , stale , or in refresh while the previous secondary clone becomes the primary clone or otherwise assumes a new state . Action : Level : 1 Type : UNKNOWN Impact : Cloning CLONE-23151 : Absolute path of the Oracle Home that will be used to configure the instance home .",cloning,"[(0, 13), (13, 47), (47, 76)]","[(56, 76)]",-,0.0,MU,C2.381,train,doc_1174,: Cloning CLONE-23151 : Absolute path of the Oracle Home that will be used to configure the instance home .,MU
"Use the energy required to get pupils to work hard , strive etc , not to take off their nail varnish . The potential benefits of school uniforms include : Decreasing violence and theft -- even life-threatening situations -- among students over designer clothing or expensive sneakers . As a result , unethical activities become acceptable when it is convenient , so , the dishonesty is not enough punish .",school uniforms,"[(0, 22), (22, 47), (47, 70)]","[(22, 34)]",m1,0.48,SP,C1.2071,train,doc_7374,The potential benefits of school uniforms include : Decreasing violence and theft,SP
"In April 2014 , Oklahoma banned local municipalities from instituting minimum wage rates that are different from the state 's minimum wage . The Fair Minimum Wage Act of 2013 will provide a much-needed update to the minimum wage by gradually raising the minimum wage from $ 7.25 per hour to $ 10.10 per hour , and indexing it to inflation in order to keep up with the rising cost of living . .uk/Market_failures/Minimum_wage.html Minimum wage - Wikipedia , the free encyclopedia Minimum wage rates vary greatly across many different jurisdi",minimum wage,"[(0, 30), (30, 39), (39, 91)]","[(30, 39)]",-,1.0,PM,C1.1487,train,doc_5234,will provide a much-needed update to the minimum wage,PM
Responding to the pro-abortion slogan `` Letting Women Be Their Own Moral Agents '' -- a ploy to try to make abortion seem morally acceptable . A substantial number of states require that a minor obtain parental consent prior to obtaining an abortion . The presence of a large Catholic population reduces the number of hospitals offering abortion services and leads indirectly to lower abortion rates .,abortion,"[(0, 26), (26, 44), (44, 67)]","[(6, 21)]",-,0.0,MU,C2.112,train,doc_324,Letting Women Be Their Own Moral Agents '' -- a ploy to try to make,MU
"Although the maximum elevation of the guns is 60 degrees , loading must be accomplished at an elevation of 22° or less because of the limitations of the ammunition-loading mechanisms and the empty-case ejection system . That means any gun data collected by the US government in the future will exist forever . Everyone is against gun violence ( pro-gun rights and pro-gun control ) .",gun control,"[(0, 36), (36, 53), (53, 66)]","[(55, 57)]",-,0.0,MU,C2.2459,test,doc_3532,against gun,MU
"Some of the smarter opponents of cannabis have figured this out , and are now looking for ways of limiting the increase in drug abuse likely to follow legal availability . `` Supporters of recreational marijuana are touting the potential tax revenue available to states if the drug is legalized and regulated . Raich case , the court held that the Constitution 's commerce clause allows the federal government to bar individuals from cultivating marijuana on their own property for their own medicinal use .",marijuana legalization,"[(0, 32), (32, 52), (52, 85)]","[(32, 42)]",m1,0.5,SP,C1.959,train,doc_4067,Supporters of recreational marijuana are touting the potential tax revenue,SP
"Embodiments of the present disclosure enable determination of clone data map equivalence and compatibility to enable different copies of the clone data maps to support queries in a distributed data environment , as further described below . John Matheson , the FDA toxicologist in charge of determining any risks that might come from eating cloned meat , said if the agency finds cloned meat is as safe as conventional meat , it wo n't require companies to label the products . On Windows system computers , you can obtain the location from the Windows Registry key : HKEY_LOCAL_MACHINE\SOFTWARE\ORACLE\INST_LOC .",cloning,"[(0, 37), (37, 81), (81, 99)]","[(25, 41)]",-,0.0,MU,C2.423,train,doc_1220,"queries in a distributed data environment , as further described below . John Matheson , the",MU
"I have shopped there for at least 10 years , and have found if you start there you can often avoid a trip to several stores around a mall . Opponents feel that uniforms are just a new gimmick that will have little effect on education . They 're probably the only ones who can afford the jeans that come with holes in them , I do n't know .",school uniforms,"[(0, 33), (33, 46), (46, 70)]","[(33, 46)]",-,1.0,PM,C1.2833,test,doc_7976,uniforms are just a new gimmick that will have little effect on education,PM
": 0113 238 9520 Clive Mark Clive Mark has been supplying school uniform for over 50 years , with a reputation for premium quality branded school clothes that are made to withstand the rigours of school li Improved academic achievement is an additional benefit frequently attributed to mandatory uniform policies . Students do not worry about how they look and are therefore able to concentrate more on their studies rather than social plans . What better time to remind our customers and potential customers why it makes so much sense for schools to adopt a school uniform policy ?",school uniforms,"[(0, 37), (37, 50), (50, 51), (51, 73), (73, 99)]","[(37, 60)]",m2,0.956,MG,C3.2425,train,doc_7141,Improved academic achievement is an additional benefit frequently attributed to mandatory uniform policies . Students do not worry about how they look and,MG
"s. '' The EU has vowed to reduced its emissions of carbon dioxide by 20 per cent by 2020 , compared with 1990 levels , and give clean energies to a fifth of the energy mar The fear of a repeat is so great that despite all the safety arrangements touted by the nuclear equipment operators and suppliers , Nuclear Energy faces an uncertain future . Butt joints between materials having different coefficients of thermal expansion are prepared having a reduced probability of failure of stress facture .",nuclear energy,"[(0, 36), (36, 41), (41, 88)]","[(35, 41)]",m6,0.4,SP,C1.2009,train,doc_6869,mar The fear of a repeat,SP
"In the arguments put forward by Professor Cohen , he has stated that the actual deposit of uranium that is available can be extracted at a high cost . Energy demands are growing fast everywhere and we can not afford to continue to meet them with finite and polluting fossil fuels . An offshore wind farm has been approved by the New Jersey Board of Public Utilities off the coast of Cape May which would add to the state ’ s emission free power base",nuclear energy,"[(0, 29), (29, 51), (51, 85)]","[(32, 51)]",m1,0.864,IMP,C1.1732,train,doc_6049,growing fast everywhere and we can not afford to continue to meet them with finite and polluting fossil fuels,DISP
"The existence of cloning in DSLs can suggest potential application scenarios involving the use clone detection and its associated techniques . Cloning organs will be more efficient and cost ? If they had contained any mutable object , it would have affected both of them .",cloning,"[(0, 21), (21, 27), (27, 46)]","[(21, 24)]",m2,0.5,SP,C1.392,train,doc_1133,Cloning organs will,SP
"Assassinate presidents , and they ai n't the only ones , We can get them all , young and old , if we stick to our guns . Your statement that there is some success of gun control has absolutely no evidence other than the tainted biased utterances of gun control and government . For many pro-gun independents , Obama is not seen as a real threat to gun rights .",gun control,"[(0, 31), (31, 38), (38, 71)]","[(31, 38)]",-,1.0,PM,C1.2544,train,doc_3037,there is some success of gun control,PM
"Analyses of observational data can support a thesis and may be useful for that purpose , but such analyses can seldom prove or disprove causation… . The facts tell us that the death penalty is a greater protector of innocents , than is LWOP ( 3 ) , a reality which would result in even more support for the death penalty . therefore calls on the African Commission to : Urge those State Parties to the African Charter which still use the",death penalty,"[(0, 31), (31, 44), (44, 82)]","[(31, 44)]",-,1.0,PM,C1.586,train,doc_2081,"the death penalty is a greater protector of innocents , than is LWOP",PM
"DOC must annually review the confinement conditions of someone placed in a housing unit for the maximum security population . They argue that a government 's act to execute is a violation of human rights , especially if there remains a possibility that the individual is innocent . People will be less scared to come out and have some fun , the U .",death penalty,"[(0, 23), (23, 47), (47, 64)]","[(23, 47)]",-,1.0,PM,C1.711,train,doc_2659,"a government 's act to execute is a violation of human rights , especially if there remains a possibility that the individual is innocent",PM
"The broken lines track how long it will take to close the jobs gap under alternative assumptions about the rate of job creation going forward . This reality is leading many economists to support minimum wage increases as a useful policy measure , especially in an era of increasing economic inequality . During the first part of this period , in the 1990s , all sectorsincluding those with a high concentration of minimum wage workersexperienced roughly similar growth levels , despite implementation of a higher minimum wage . Indexing for prices would not have caused the minimum wage to reach excessive levels during times when the economy was doing poorly or inﬂation was high—the lag in the more typical years prevents that .",minimum wage,"[(0, 26), (26, 51), (51, 60), (60, 87), (87, 123)]","[(24, 80)]",m8,0.8029999999999999,MG,C3.1365,train,doc_5072,"forward . This reality is leading many economists to support minimum wage increases as a useful policy measure , especially in an era of increasing economic inequality . During the first part of this period , in the 1990s , all sectorsincluding those with a high concentration of minimum wage workersexperienced roughly similar growth levels ,",MG
"Likewise , we can compare the homicide rates in the states that had abolished the death penalty or have not had it on the books to those who have . Capital offenses or we can say that capital crimes are the crimes which results in death penalty . Japan 's condemned prisoners are kept in inhuman conditions for decades and then taken out of their cells and hanged without warning .",death penalty,"[(0, 30), (30, 48), (48, 71)]","[(28, 28)]",-,0.0,MU,C2.875,train,doc_2194,,MU
"The double challenge over the next 10–20 years will be to keep promoting economic development by providing reliable , safe and affordable energy while significantly reducing GHG emissions . Although nuclear energy plants are better than renewable energy today as they are natural and lots of energy is produced through this source . This debate is always based on the danger posed by nuclear plants and nuclear residues , which are dangerous for thousands of years .",nuclear energy,"[(0, 30), (30, 52), (52, 77)]","[(30, 52)]",-,1.0,PM,C1.1757,train,doc_6077,nuclear energy plants are better than renewable energy today as they are natural and lots of energy is produced through this source,PM
"I have no problem with logoed jumpers IF they are good quality , good price and easily available from the school . The supporters of school uniforms believe them to be cost efficient , academically helpful and encouraging , a self confidence booster , and a more welcoming atmosphere acceptance . s. Als o , uniforms can be expensive some families are just making it by and if they have more than five children it can start causing probl e Some students ’ families are forced to put their kids in private school because they get into trouble at private schools .",school uniforms,"[(0, 23), (23, 50), (50, 53), (53, 79), (79, 102)]","[(20, 73)]",m8,0.886,MG,C3.2319,train,doc_7365,"school . The supporters of school uniforms believe them to be cost efficient , academically helpful and encouraging , a self confidence booster , and a more welcoming atmosphere acceptance . s. Als o , uniforms can be expensive some families are just making it by and if they have more than five",MG
"Even without Kurama 's chakra , Naruto can make quite a few clones , but nowhere near on the level he can when he has access to the Nine-Tails ' chakra . When done with several hundred , like Naruto does , training that could take weeks or months can be completed in a few hours . For example , you can use WinZip on Microsoft Windows system computers and tar or gzip on UNIX .",cloning,"[(0, 42), (42, 56), (56, 76)]","[(42, 56)]",-,1.0,PM,C1.373,train,doc_1112,training that could take weeks or months can be completed in a few hours,PM
"The NRA is known to have issued a threat to many legislators that they should espouse the anti gun control cause failing which the NRA would work for defeating them in the primaries thus denying them a chance to contest in elections ! In 1954 , there were only a dozen armed robberies in London but , by the 1990s — after decades of ever-tightening gun ownership restrictions — there were more than a hundred times as many armed robberies . — The Federal Firearms Act of 1938 banned criminals from receiving or sending firearms in interstate or foreign commerce and regulated interstate commerce in firearm",gun control,"[(0, 61), (61, 80), (80, 106)]","[(65, 80)]",m1,0.789,IMP,C1.2581,train,doc_3804,gun ownership restrictions — there were more than a hundred times as many armed robberies,DISP
"Sen. Rona Kramer said she had been giving “ very serious consideration to complete repeal ” but decided limiting the death penalty was a better option ( “ Senate OKs Limits on Use of Death Penalty , ” Baltimore Sun , March 5 , 2009 ) . Secondly , it is true that death penalty is irreversible , but it is hard to kill a wrongly convicted person due to the several chances given to the convicted to prove his innocence . Phillips , suggests that the greater the publicity surrounding executions , the greater the deterrent effect will be . Once one understands that the question is badly skewed , it 's pretty remarkable that support for the death penalty is robust enough to maintain that level of support despite the skewing .",death penalty,"[(0, 49), (49, 81), (81, 86), (86, 100), (100, 134)]","[(61, 100)]",m3,0.872,MG,C3.631,train,doc_2136,"hard to kill a wrongly convicted person due to the several chances given to the convicted to prove his innocence . Phillips , suggests that the greater the publicity surrounding executions , the greater the deterrent effect will be",MG
"This is obtained from some of the trustworthy dealer of the market who fabricate this product in compliance with international quality standards . Finally , uniforms are bad because they make a student have to live up to the reputation of that particular school . It 's about offering quality products at affordable prices , he said .",school uniforms,"[(0, 23), (23, 44), (44, 58)]","[(23, 44)]",-,1.0,PM,C1.2845,test,doc_7729,"Finally , uniforms are bad because they make a student have to live up to the reputation of that particular school",PM
"The clones are capable of performing techniques on their own and can even bleed , butwill usually disperse after one or two solid blows . There may be cases where cloning may be due to the desire of an individual to continue his life through the production of cloned offspring . By infusing his shadow clones with senjutsu chakra and leaving them at Mount Myōboku , Naruto can recall them to him on the battlefield and dispel the technique causing the chakra they have stored up to return to the original body .",cloning,"[(0, 25), (25, 50), (50, 93)]","[(25, 37)]",m1,0.48,SP,C1.453,train,doc_1883,There may be cases where cloning may be due to the desire,SP
"The large quantity of hydrogen that would be required for this concept should be produced without consuming fossil fuels or emitting greenhouse gases . According to one of the largest U.S. electric utility companies , building 1,000 megawatts of advanced nuclear energy provides more than twice the amount of jobs than wind and six times more jobs than solar . The power factor $ \\tau $ is close to -1/3 in central collisions whereas it is -2/3 for peripheral collisions suggesting stronger system size dependence at peripheral geometries .",nuclear energy,"[(0, 35), (35, 59), (59, 89)]","[(35, 47)]",m1,0.5,SP,C1.1721,train,doc_6034,"building 1,000 megawatts of advanced nuclear energy provides more than twice the",SP
"Having implemented a waiting period can be positive in many ways , for instance it really gives the young teen a chance to consider the options she has been given ... Health plans that will be offered in the state ’ s health exchange under the Affordable Care Act may not provide coverage of abortion . The interaction of public demand and access at the state level creates geographically varying environments in which abortion decisions are made .",abortion,"[(0, 31), (31, 56), (56, 78)]","[(25, 32)]",-,0.0,MU,C2.19,train,doc_217,options she has been given ... Health,MU
Civilian cooperation allows nuclear technology and materials necessary for a nuclear weapons program and helps educate people in the science relevant to bomb building . Radioactive wastes are the principal environmental concern for nuclear power . ; How hazardous is the transportation of radioactive waste ?,nuclear energy,"[(0, 25), (25, 35), (35, 46)]","[(25, 35)]",-,1.0,PM,C1.2024,train,doc_6896,Radioactive wastes are the principal environmental concern for nuclear power,PM
"Those who are for more controls over guns and how they are bought and sold in this country , then , use these gun control statistics to support their arguments . Even when we expand the issue out to allow for multiple answers , as CBS News did , only 21 % think that stricter gun control would prevent gun violence by much . It takes courage to be free , and far greater courage to allow others to be free .",gun control,"[(0, 54), (54, 61), (61, 82)]","[(54, 61)]",-,1.0,PM,C1.2960,test,doc_3918,stricter gun control would prevent gun violence,PM
"Because cloning can cause problems , clone ( ) is declared as protected inside Object . OUI cloning is more beneficial than using the tarball approach , because cloning configures the Central Inventory and the Oracle home inventory in the cloned home . Cloning a Virtual Machine or Template Cloning a virtual machine or template enables you to create multiple virtual machines or templates based on the original .",cloning,"[(0, 16), (16, 26), (26, 69)]","[(17, 26)]",m1,0.9,IMP,C1.289,train,doc_1014,cloning is more beneficial than using the tarball approach,DISP
"Whatever the reasons for Americans ' greater acceptance of marijuana , it is likely that this momentum will spur further legalization efforts across the United States . Their are beneficial reasons for marijuana too it helps anxiety , ADHD , depression , and people with cancer The legalization of Marijuana , and the addition of a tax onto it could very well be the bailout this country needs . condition and that the `` potential benefits of medical use of ...",marijuana legalization,"[(0, 34), (34, 46), (46, 46), (46, 68), (68, 81)]","[(34, 54)]",m2,0.964,MG,C3.983,train,doc_4094,"it helps anxiety , ADHD , depression , and people with cancer The legalization of Marijuana , and the addition",MG
"In addition , some counties and/or cities within certain states may observe a higher current minimum wage than the rest of the state . For example , if a young worker is applying for his first job as a machinist at a factory , the owner of the factory knows that the worker wo n't produce as many widgets as a more experienced employee . Minimum wage law Minimum wage law is the body of law which prohibits employers from hiring employees or workers for less than a given hourly , daily or monthly minimum wage .",minimum wage,"[(0, 27), (27, 64), (64, 97)]","[(27, 64)]",-,1.0,PM,C1.1585,train,doc_5806,"if a young worker is applying for his first job as a machinist at a factory , the owner of the factory knows that the worker wo n't produce as many widgets as a more experienced employee",PM
"Minimum Wage and Living Wage Recent Developments Background and History Reasons to Increase the Minimum Wage Common Myths and Objections State Efforts Still , like all other government mandates , a wage hike sets off unintended consequences that end up harming the very people politicians say they are trying to help . Tipped workers are hit especially hard during economic downturns , as financially squeezed consumers often have no choice but to leave smaller tips or cut back on spending at diners or salons altogether . egally paying you less then the Alberta minimum wage , contact the Alberta Department of Labor immediately and they will advocate on your behalf .",minimum wage,"[(0, 30), (30, 51), (51, 52), (52, 61), (61, 111)]","[(43, 61)]",m3,0.881,MG,C3.1684,train,doc_5933,people politicians say they are trying to help . Tipped workers are hit especially hard during economic downturns,MG
"they can enforce any policies they want so long as those they are hired by ( parents ) do n't find them useless to the point of avoiding them Having uniforms levels the playing field a little for kids who ca n't - or choose not to - buy expensive clothes . Lands ’ End School Uniform products offer the same quality , value and guarantee for which Lands ’ End is legendary",school uniforms,"[(0, 29), (29, 51), (51, 73)]","[(29, 40)]",m1,0.5,SP,C1.2835,test,doc_7061,Having uniforms levels the playing field a little for kids who,SP
"However , the arguments against the implementation of the death penalty as a means of capital punishment do not rely merely on morality . NACDL opposes the death penalty in all circumstances and supports reforms to ensure that innocent persons are not executed . and they have the deathpenalty in that particular state ; the defendant can plead guilty to the charges in return they receive a sentence of life in prison instead of receiving the deathpenalty .",death penalty,"[(0, 24), (24, 44), (44, 78)]","[(59, 69)]",-,0.0,MU,C2.927,train,doc_2254,to the charges in return they receive a sentence of,MU
"Federal Death Penalty Abolition Act of 2009 would put an immediate halt to federal executions and forbid the use of the death penalty as a sentence for violations of federal law . They are just misusing their `` some murder victims more or less valuable than others '' talking point , utilizing their victim status in a cynical and dishonest manner . It ’ s a shocking number , and though it is certainly is a grim milestone , what does Texas executing its 500th person actually say about the current state of the death penalty in the United States ?",death penalty,"[(0, 32), (32, 62), (62, 101)]","[(70, 88)]",-,0.0,MU,C2.1057,train,doc_2405,"though it is certainly is a grim milestone , what does Texas executing its 500th person actually say",MU
"Previously mandatory death penalty crimes were replaced with discretionary death penalty punishments . The public strongly likes the idea of the death penalty , much fewer are strongly concerned with them actually being carried out . He can immediately commute all five death sentences , commute each sentence on a case by case basis , or do nothing .",death penalty,"[(0, 13), (13, 36), (36, 59)]","[(37, 52)]",-,0.0,MU,C2.1065,train,doc_2417,"can immediately commute all five death sentences , commute each sentence on a case by",MU
"Any way you look at it , guns are powerful tools not only physically but socially . When you allow people to own guns indiscriminately , the chances of guns being used in crimes will be high . In short , both sides stand to benefit from using these gun control statistics to support their individual arguments , which are both for and against stronger gun control laws .",gun control,"[(0, 17), (17, 37), (37, 69)]","[(17, 37)]",-,1.0,PM,C1.2900,test,doc_3194,"When you allow people to own guns indiscriminately , the chances of guns being used in crimes will be high",PM
"General deterrence exists , because individual deterrence could not exist without it . “ The death penalty does not work in terms of preventing violent crime and the taking of human life , ” he said . However , the death penalty continues to be commonly applied in other nations .",death penalty,"[(0, 14), (14, 32), (32, 51)]","[(18, 32)]",m1,0.778,IMP,C1.673,train,doc_2604,not work in terms of preventing violent crime and the taking of human life,DISP
A clone that is created by altering the user 's own cells with chakra . After you reach your storage limit the app stops cloning until you either increase your Clone Phone server storage capacity by purchasing a storage add-on or by deselecting some of the cloning categories in the app settings . a Linux LiveCD based boot CD that allows cloning of computer hard drives to backup data or migrating system to another PC .,cloning,"[(0, 15), (15, 53), (53, 76)]","[(49, 65)]",-,0.0,MU,C2.426,train,doc_1223,the app settings . a Linux LiveCD based boot CD that allows cloning of computer hard,MU
