Sentence,Topic,Indices,ArgumentIndices,Move,RValue,Class,SentenceId,Set,DocId,PredictedArgument,CoarseClass
"In recent years , the discussion about the agriculture development has become a controversy . One is that it worsens the air pollution by releasing the excessive exhaust emission . Moreover , excessively relying on the electronic equipment for harvest causes several impacts to the society . While some appear to believe that advanced plant foods incorporate with newly developed devices significantly reduce the cost of producing farm products , others argue that this collaboration exerts a series of negative effects to people 's health condition and the society .","Advanced fertilizers and machine for farmers, good or bad?","[(0, 15), (15, 29), (29, 32), (32, 46), (46, 90)]","[(10, 44)]",m8,0.7649999999999999,MG,C3.1222,train,essay115,"has become a controversy . One is that it worsens the air pollution by releasing the excessive exhaust emission . Moreover , excessively relying on the electronic equipment for harvest causes several impacts to",MG
"World Wide Web and communication via email are some of the positive sides of information technology , however , there are some negative aspects . All this inventions will try to take control of the Earth . Decade after decade , every day , scientists discover magnificent devices in the field of IT , such as interactive boards , multicore computers and laptops , tablets , which have an incredible resolution and also mobile phones , which have the power of a computer .",There have been significant developments in the field of IT!,"[(0, 25), (25, 36), (36, 84)]","[(25, 30)]",m1,0.455,SP,C1.3602,test,essay335,All this inventions will try,SP
"There is no doubt our life has had a change for the better since cars were introduced . However , taxation on flamable resources might backfire by conducing to inflation . Taxation may have tackled the environmental issue simply by diverting people to public transportations such as trains , buses or ferries . However , cars themselves , especially private ones , have exerted severe pressure on the environment and economy for wasteful oil consumption .",Increased taxation on petrol and diesel fuel to discourage private cars?,"[(0, 20), (20, 30), (30, 31), (31, 52), (52, 76)]","[(20, 39)]",m2,0.907,MG,C3.3983,train,essay380,taxation on flamable resources might backfire by conducing to inflation . Taxation may have tackled the environmental issue simply,MG
"They are being rude towards others . Once a celebrity said : A man 's manner is a mirror that reflects his virtues . Obviously , I do not agree with such kind of altitudes , the explanations I explored would be stated as following .",A man 's manner is a mirror that reflects his virtues,"[(0, 7), (7, 24), (24, 46)]","[(23, 38)]",-,0.0,MU,C2.1305,train,essay239,". Obviously , I do not agree with such kind of altitudes , the explanations",MU
"When we talk about student , we generally mean a boy or a girl who study in school or college . As you can see , part time job can help students earn money and which can help their parents financially . In sum , I am sure ; some people will oppose the idea of part time job for students .",Part time job for teenage students,"[(0, 26), (26, 41), (41, 62)]","[(26, 33)]",m1,0.467,SP,C1.3173,train,essay298,part time job can help students earn,SP
"I , in my childhood , was just a typical case . In considering whether the time children watching on TV or movies should be constrained , I hold a strongly positive point of view toward this issue . In 19th century , television is one of an significant inventions and has become a indispensible appliance in every house .",Should parents limit their children watching TV to make them do well in school?,"[(0, 12), (12, 38), (38, 60)]","[(12, 38)]",-,1.0,PM,C1.2556,train,essay249,"In considering whether the time children watching on TV or movies should be constrained , I hold a strongly positive point of view toward this issue",PM
"These are two sides of the same coin which ca n't be separated . In the same way , co-operative approach will save time , energy and will have a higher success rate . When co-operation and healthy competition is followed together , success , achievements , recognition and any goal becomes easier .",Competition or co-operation-which is better,"[(0, 19), (19, 33), (33, 54)]","[(21, 33)]",m1,0.857,IMP,C1.579,train,essay058,"will save time , energy and will have a higher success rate",DISP
"However , it does not mean that air travel should be more expensive . These days , millions of people can travel around the world for work or pleasure . People have various different views about cheap air travel .",Cheap air travel should be encouraged?,"[(0, 14), (14, 29), (29, 40)]","[(14, 29)]",-,1.0,PM,C1.2010,train,essay197,"These days , millions of people can travel around the world for work or pleasure",PM
"As is commonly understood , there is an increasingly gap between developed countries and developing countries . Indeed , they rarely provide local residents with any technological aid and even cause contamination in some areas . In addition , it is well acknowledged that there is no free lunch in the world .",Financial aid to develop countries,"[(0, 19), (19, 35), (35, 53)]","[(20, 35)]",m1,0.938,IMP,C1.267,train,essay027,rarely provide local residents with any technological aid and even cause contamination in some areas,DISP
"In my view , I firmly disagree with this recommendation due to several reasons . Another reason why artists should be helped is because talent in art is extremely precious and should not be wasted . Therefore , there is a suggestion that governments should not continue to fund the artists , but they ought to spend money on other necessary subjects such as medical research and space .",Funding artists,"[(0, 24), (24, 35), (35, 69)]","[(26, 35)]",m1,0.818,IMP,C1.1229,train,essay116,art is extremely precious and should not be wasted,DISP
"There is a hotly debated issue over whether successful people usually take risk or try new things , and the topic can be approached from several different angles due to its complexity . In other words , reducing risks and enhancing individual 's capability is the most important path to success . However , according to my limited understanding , I just doubt the credibility of that saying owing to its imprudence .",Successful people do something new or take risks,"[(0, 33), (33, 52), (52, 73)]","[(8, 29)]",-,0.0,MU,C2.865,train,essay143,"successful people usually take risk or try new things , and the topic can be approached from several different angles due",MU
"Getting the best lessons , besides our abilities to self-study , depends on our teachers a lot . Firstly , parents are our teachers from the very early time in our life . Learning is a thing that we do in all of our lives .",Parents are our teachers from the very early time in our life,"[(0, 20), (20, 32), (32, 46)]","[(18, 32)]",m6,0.417,SP,C1.3456,train,essay323,"Firstly , parents are our teachers from the very early time in our life",SP
"Some consider this approach to be an advantage while others reject this as a disadvantage . In a busy city like Tokyo , students waste a lot of time in travelling . Both the points of views will be discussed in order .",The option to work or study from home is advantage or disadvantage,"[(0, 16), (16, 31), (31, 43)]","[(18, 31)]",m1,0.867,IMP,C1.3775,train,essay358,"busy city like Tokyo , students waste a lot of time in travelling",DISP
"Most of workers have adapted to do same task . While when it comes to `` happier '' , different type of jobs can be responsible factor . While there are innumerous people will deem it ridiculous and argue doing the same task is the meaning of job , but from my perspective , I am on the side of my father .",Different types of tasks endow more colors to our life,"[(0, 11), (11, 27), (27, 63)]","[(15, 27)]",m1,0.75,IMP,C1.3470,train,essay324,"`` happier '' , different type of jobs can be responsible factor",DISP
"Thus , every country has been promoting technological advances in the recent years , regardless of any potential problems it may bring about . For example , China has successfully promoted traditional techniques in the Shanghai World Expo , using a variety of state-of-the-art technological methods , such as robots and LED screens . Only when traditional culture is integrated with the modern technology can it be developed in the long run .",Technology keeps traditional skills and ways of life alive or not?,"[(0, 27), (27, 53), (53, 73)]","[(29, 53)]",m1,0.923,IMP,C1.713,train,essay066,"successfully promoted traditional techniques in the Shanghai World Expo , using a variety of state-of-the-art technological methods , such as robots and LED screens",DISP
"To sum up , everything has its own gains and losses and advertisement is not an exception . Moreover , advertisement enables to support users in getting accustomed to enterprises and know thoroughly items sold from these producers . From my point of view , advertising will be better if producers and advertisers are more honest in producing advertisements to give people the general view on one product .",Discuss both harms and good of advertising and give your opinion,"[(0, 20), (20, 38), (38, 69)]","[(25, 38)]",m1,0.722,IMP,C1.3651,train,essay343,in getting accustomed to enterprises and know thoroughly items sold from these producers,DISP
Take my cousin Jeff and his friend as an example . I was in the Management Information System department . Both of the opposite arguments appear to be somewhat convincing and stand to reason .,Whether it is better to have broad knowledge or not,"[(0, 11), (11, 20), (20, 35)]","[(13, 13)]",-,0.0,MU,C2.1512,train,essay263,,MU
"Some believe that tourism is attributed to domestic economic distortion , environmental devastation and irrepairable damage to the exploited places . In order to turn a wilderness into a place of attraction , the planners must have taken the nourishment of the sceneries into thorough consideration . However , I strongly disagree with this misconcept for the two following reasons .",Tourism: good or bad?,"[(0, 21), (21, 46), (46, 61)]","[(22, 46)]",m1,0.96,IMP,C1.3873,train,essay369,"order to turn a wilderness into a place of attraction , the planners must have taken the nourishment of the sceneries into thorough consideration",DISP
"For instance , I recall my first trip to a zoo , at age eight . Others believe that they are inferior creatures and therefore do not deserve our attention . Many people state that zoos are a great asset to animals .",Should animals be free or live in zoos?,"[(0, 16), (16, 31), (31, 43)]","[(1, 10)]",-,0.0,MU,C2.1086,train,essay194,"instance , I recall my first trip to a",MU
"In education , it is believed that technology help the students improve their scholastic performances . It is highly recommended that apart from education , technology should be applied in every aspect of life which assures of a better future . Nowadays , technology plays an indispensable role in almost all spheres of life .",Technology helps student learn more information and learn more quickly?,"[(0, 16), (16, 41), (41, 55)]","[(31, 37)]",-,0.0,MU,C2.2303,test,essay382,aspect of life which assures of,MU
International sporting events are a good change to create a multi-nation community of fans having the same passion . An international sporting event is normal held in a country with huge interest from fans all over the world . It will help people around the world understand each other more .,International sporting occasions help to ease international tensions,"[(0, 19), (19, 38), (38, 51)]","[(19, 38)]",-,1.0,PM,C1.349,train,essay037,An international sporting event is normal held in a country with huge interest from fans all over the world,PM
"However , other people believe that the existence of zoos is next to nothing . Secondly , the zoo also serve as a means of ecological protection . In sum , the role of zoos towards both human and animals is undeniably indispensable . It is highly recommended that zoos should be seen with different perspective in order to function at their most efficiency .",The zoo deserves maintenance and public respect,"[(0, 17), (17, 27), (27, 31), (31, 43), (43, 65)]","[(17, 43)]",m1,0.847,MG,C3.3926,train,essay374,"the zoo also serve as a means of ecological protection . In sum , the role of zoos towards both human and animals is undeniably indispensable",MG
"At some moment , my body was telling me to stop but the choice that I made was on the contrary . , '' shouted from my heart but my legs can hardly move . '' Keep running !",Keep trying and never stop working for your goals,"[(0, 22), (22, 35), (35, 39)]","[(1, 29)]",-,0.0,MU,C2.1835,test,essay301,"some moment , my body was telling me to stop but the choice that I made was on the contrary . , '' shouted from my heart but",MU
"It is undeniable that the use of CCTV has plenty of benefits to offer , especially in reducing crimes and protecting the employees in a premise . They are used in schools , businesses and some other premises in order to monitor the activities taking place . Nevertheless , some argue that these cameras invade their privacies due to constantly being monitored .",Use of CCTV cameras,"[(0, 27), (27, 47), (47, 63)]","[(35, 47)]",-,0.0,MU,C2.584,train,essay085,some other premises in order to monitor the activities taking place .,MU
"Living in the 21st century , people are firmly convinced that technology is the main driving force behind productivity . However , I believe their concern is groundless . Some people are worried modern technological technology is probably a hurdle to the preservation of traditional techniques and lifestyles .",Technology keeps traditional skills and ways of life alive or not?,"[(0, 20), (20, 29), (29, 49)]","[(27, 45)]",-,0.0,MU,C2.465,train,essay066,groundless . Some people are worried modern technological technology is probably a hurdle to the preservation of traditional,MU
"Secondly , scientific research provide several authentic survey of the students ' performance after break . As it not only provide break to them from their regular commitment but also allows them to spend some time on themselves , heel stressful mind and boost desire of resuming to the regular schedule . Many people promote one long vacation system of the school because it would help student to start their course or academic year with strong zeal of learning .",One long vacation or several long vacation,"[(0, 17), (17, 51), (51, 80)]","[(17, 51)]",-,1.0,PM,C1.3199,train,essay300,"it not only provide break to them from their regular commitment but also allows them to spend some time on themselves , heel stressful mind and boost desire of resuming to the regular schedule",PM
"Why wasting time going to classes ? In my opinion , I believe that students should always attend class no matter what the outcome of the exam is . Some students still rely on classes to keep up with the courses , while some students do n't feel the need to attend classes because they believe that they can handle the exams .",University students should attend classes or not?,"[(0, 14), (14, 28), (28, 63)]","[(18, 28)]",m1,0.714,IMP,C1.2635,train,essay256,class no matter what the outcome of the exam is,DISP
"It 's just like a picky mirror through which we can see the bad side of us and thus try to become more beautiful and confident . In other words , if you ca n't take any criticism , not only will you fail in cooperating with other people , but also get defeated in personal works . Does n't insistence also a good character ? In conclusion , criticism is essential especially in group working but in other occasions we still need criticism . In this long process of discussion , there must be different opinions sparkling out .",People who can’t accept others’ criticism can’t succeed in group working,"[(0, 31), (31, 57), (57, 69), (69, 84), (84, 100)]","[(42, 84)]",m3,0.714,MG,C4.1698,train,essay251,"you fail in cooperating with other people , but also get defeated in personal works . Does n't insistence also a good character ? In conclusion , criticism is essential especially in group working but in other occasions we still need criticism",MG
"I suggest the government look into the background of the people in depth before giving out hand phones to them . Nonetheless , looking from another perspective , supplying hand phones to the unemployed is a waste of the taxpayers ' money . Furthermore , when hand phones are provided for free , many would want to take advantage of this opportunity . I strongly believe that the public money should be utilized for the benefit of the society and not just for some of them who are not willing to put in more effort to find them a proper work .",Giving mobile phones to the unemployed,"[(0, 28), (28, 42), (42, 45), (45, 62), (62, 102)]","[(25, 60)]",m8,0.829,MG,C3.900,train,essay084,"another perspective , supplying hand phones to the unemployed is a waste of the taxpayers ' money . Furthermore , when hand phones are provided for free , many would want to take advantage of",MG
"Nevertheless , some argue that there should be government restrictions in order to limit their opinions . Arts is one of the ways that can be used to criticise social problems and government policies in a particular country . Looking from another perspective , there are certain drawbacks if artists are not restricted .",Artists' freedom to express ideas,"[(0, 17), (17, 38), (38, 54)]","[(17, 27)]",m1,0.476,SP,C1.867,train,essay081,Arts is one of the ways that can be used,SP
"With this advancement , newspapers and magazines are struggling to justify their existence . For example , one research fellow may want to know how a small village named Oramaki in Japan was suffering after Second World War . Digital media has been extremely popular among people around the globe .",Internet will end the era of newspapers and magazines,"[(0, 17), (17, 38), (38, 51)]","[(19, 38)]",m1,0.905,IMP,C1.3702,train,essay350,fellow may want to know how a small village named Oramaki in Japan was suffering after Second World War,DISP
"If you did , it was probably at a zoo . In the present there is a lack of respect for animals . Have you ever seen a real life bear or a monkey ?",Zoos have no useful purpose?,"[(0, 11), (11, 22), (22, 35)]","[(12, 22)]",m1,0.909,IMP,C1.1837,train,essay173,the present there is a lack of respect for animals,DISP
"In my opinion , this viewpoint needs to be examined thoroughly and this essay will discuss this issue . Some people , therefore , harbour a view saying that governments should preserve those by spending some budgets on them . It is certainly true that some languages are disappearing day by day over the world .",Several languages are in danger of extinction,"[(0, 19), (19, 40), (40, 56)]","[(40, 50)]",-,0.0,MU,C2.501,train,essay074,It is certainly true that some languages are disappearing day,MU
"Educational rights must be given to both genders . , are symbols of women 's intelligence and skills . Its a debatable issue whether universities should accept equal number of males and females in a course or not .",Should universities accept equal number of males/females or not,"[(0, 9), (9, 19), (19, 39)]","[(28, 37)]",-,0.0,MU,C2.429,train,essay062,number of males and females in a course or,MU
"At school , students are priority . I would say no . That 's why education in university is discussed all the time .",I'm against providing more money to professors,"[(0, 7), (7, 12), (12, 24)]","[(0, 27)]",-,0.0,MU,C2.1905,train,essay312,"At school , students are priority . I would say no . That 's why education in university is discussed all the time .",MU
"Nevertheless , some argue that these cameras invade their privacies due to constantly being monitored . Admittedly , privacies are lost with the use of these cameras . Looking from another perspective , the use of CCTV cameras does cause controversy .",Use of CCTV cameras,"[(0, 18), (18, 27), (27, 42)]","[(16, 27)]",m6,0.444,SP,C1.925,train,essay085,"Admittedly , privacies are lost with the use of these cameras",SP
"Some people believe that studying hard is essential part for children , otherwise others people think that playing sport is waste of time . Studying hard gives children with a plenty of knowledge and skills for their future . Naturally , children will be growing up and looking for their job .",Children should studying hard or playing sport? Both can improve their future,"[(0, 24), (24, 38), (38, 52)]","[(24, 31)]",m1,0.5,SP,C1.4132,train,essay402,Studying hard gives children with a plenty,SP
"Some people believe that studying hard is essential part for children , otherwise others people think that playing sport is waste of time . In conclusion , both studying hard at school and playing sports can improve children 's future . If they working at multinational company as the result is they can earn higher salary . Naturally , children will be growing up and looking for their job .",Children should studying hard or playing sport? Both can improve their future,"[(0, 27), (27, 40), (40, 41), (41, 56), (56, 70)]","[(24, 51)]",m8,0.851,MG,C3.4140,train,essay402,"In conclusion , both studying hard at school and playing sports can improve children 's future . If they working at multinational company as the result is",MG
"It is widely accepted by many people that a mistake will return sometimes terrible result . If someone remembers mistake , he or she has a closed mind . There is an argument regrading weather letting a friend make a mistake is better than taking action that risks destroying a friendship .","Friendship is more important than mistake by a friend, although mistake is terrible","[(0, 16), (16, 28), (28, 52)]","[(16, 28)]",-,1.0,PM,C1.2353,test,essay229,"If someone remembers mistake , he or she has a closed mind",PM
This position will be proven by looking at how this arrangement has benefited both general public as well as smokers . This bad habit also responsible for causing health hazards to passive-smokers : who are around smoking is taken place . It is thus hoped governments would consider smoke banning in public places following footsteps of Sri Lanka as well as many other countries .,Smoking should be made prohibited in public places,"[(0, 21), (21, 41), (41, 65)]","[(22, 56)]",-,0.0,MU,C2.2226,train,essay368,bad habit also responsible for causing health hazards to passive-smokers : who are around smoking is taken place . It is thus hoped governments would consider smoke banning in public places following footsteps of,MU
"It is undeniable that the use of CCTV has plenty of benefits to offer , especially in reducing crimes and protecting the employees in a premise . Looking from another perspective , the use of CCTV cameras does cause controversy . Nevertheless , some argue that these cameras invade their privacies due to constantly being monitored .",Use of CCTV cameras,"[(0, 27), (27, 41), (41, 57)]","[(32, 41)]",-,0.0,MU,C2.593,train,essay085,the use of CCTV cameras does cause controversy .,MU
"Nowadays , it is often claimed that attending classes has a lot of benefits for students and provide them with a variety of learning opportunities ( options ) as well . In this way attending classes not only wastes their time but also facilitates their understanding process that takes them less time for comprehending materials in comparison with self-study . Through this way , they may miss some important parts in virtue of the chaotic and incoherent study . On the contrary to this popular belief , there are still those who subscribe to this view that having a choice for attending classes enable students to study at home and through this way they do not waste their time for commuting and also they can save their money .",Students should attend to classes or it should be optional?,"[(0, 31), (31, 59), (59, 64), (64, 78), (78, 129)]","[(44, 78)]",m3,0.853,MG,C3.2819,train,essay271,"their understanding process that takes them less time for comprehending materials in comparison with self-study . Through this way , they may miss some important parts in virtue of the chaotic and incoherent study",MG
"The career itself became the motto of living since the beginning of industrialization in the late 19th century . But with the recent recession , almost all the countries all over the world are seeing significant economic downfall . However , a modern trend reveals that new generations are more interested to perform several jobs and also would like to gain multiple higher educational certificates in order to earn more and to gain financial security .",People are now more conscious to gain more educational qualification,"[(0, 20), (20, 38), (38, 76)]","[(20, 38)]",-,1.0,PM,C1.1370,train,essay132,"with the recent recession , almost all the countries all over the world are seeing significant economic downfall",PM
"This diversities in cities allowed for more difference in people 's preferences for where to live . Furthermore , it 's undeniable that the economic power of a country is driven by it 's big cities and the majority of wealth and finance is centered and controlled in big cities . First of all , I find the excitement of big cities to be attractive , living in a dynamic environment can turn into a very rich experience that sharpens one 's personality and open one 's eyes on the real world . Continuous technological and economical development in modern world created great differences between cities , a difference that is clearly visible in the size of various cities .",Living in big cities or living in small towns,"[(0, 24), (24, 50), (50, 66), (66, 92), (92, 120)]","[(22, 90)]",m8,0.735,MG,C3.3380,train,essay315,"that the economic power of a country is driven by it 's big cities and the majority of wealth and finance is centered and controlled in big cities . First of all , I find the excitement of big cities to be attractive , living in a dynamic environment can turn into a very rich experience that sharpens one 's personality and open one 's eyes on the",MG
I strongly believe that the public money should be utilized for the benefit of the society and not just for some of them who are not willing to put in more effort to find them a proper work . I suggest the government look into the background of the people in depth before giving out hand phones to them . Some opine that the best method to minimize this problem is by providing the unemployed with hand phones that have access to the Internet .,Giving mobile phones to the unemployed,"[(0, 39), (39, 60), (60, 85)]","[(4, 9)]",-,0.0,MU,C2.576,train,essay084,the public money should be,MU
"Nowadays news media have become more and more popular . First and foremost , today entertainment is easier for people to enjoy than ever before . Therefore , it seems not unreasonable to suggest that this is a positive development .",The popularity of news media,"[(0, 14), (14, 25), (25, 41)]","[(16, 25)]",m1,0.818,IMP,C1.984,train,essay095,is easier for people to enjoy than ever before,DISP
"The question arises as to whether or not a person spends an extra money buying newspapers to receive the same , even usually less information than those he can have with the internet ? In conclusion , it might be unpleasant for some advocating newspapers to witness the extinction of the type of media . Personally , I am inclined to agree with the latter view for following reasons .",Will newspapers become a thing of the past?,"[(0, 34), (34, 55), (55, 70)]","[(2, 6)]",-,0.0,MU,C2.32,train,essay007,arises as to whether,MU
"Most people claim that in high school music must be taught as a main subject , while others say that this is an unnecessary subject and should at least be optional . To my mind , students are to develop their professional skills by learning occupation-related subjects , rather than playing on guitar or singing a song . In conclusion , I think that in order to be a competitive worker , students must know their field in an advanced level .",Should high school make music lessons compulsory,"[(0, 36), (36, 57), (57, 82)]","[(36, 46)]",m1,0.476,SP,C1.483,train,essay050,students are to develop their professional skills by learning occupation-related,SP
"Nevertheless , among the vast range of choices offered there are often some training courses that have direct implications on job-seeking and other aspects in everyday life . A university , in common sense , is a medium for conveying or providing access to knowledge . So the truth lies somewhere closer to the fact that a university should provide access to information , rather than offer selected courses that are suitable for employers ' taste . Whether this really suits the needs of their potential employers is highly unlikely as universities nowadays have evolved as a domain of experts : where more and more is known about less and less .",True function of a university,"[(0, 28), (28, 45), (45, 56), (56, 76), (76, 112)]","[(28, 73)]",m2,0.756,MG,C3.444,train,essay046,"A university , in common sense , is a medium for conveying or providing access to knowledge . So the truth lies somewhere closer to the fact that a university should provide access to information , rather than offer selected courses that are suitable for",MG
"The gender issues have been already discussing for many years in order to give solutions for realising the equal proportion of developing human resources . As the world 's situation is always changing , act for distributing education needs are absolutely important to compete the future challenges . So , learning from human 's history , education provides someone to widen his or her knowledge and experience for facing the real situation of workplace through subject taught in college . Implementing the statue and right of equal education are believed as a sustainable policy that should be held .",The gender issue for getting education needs,"[(0, 34), (34, 47), (47, 50), (50, 79), (79, 99)]","[(34, 65)]",m2,0.903,MG,C3.3858,train,essay367,"act for distributing education needs are absolutely important to compete the future challenges . So , learning from human 's history , education provides someone to widen his or her knowledge",MG
"At school , students are priority . Some professors do n't deserve the money at all , then , what 's the point to spend money on them ? The following are my opinions .",I'm against providing more money to professors,"[(0, 7), (7, 29), (29, 35)]","[(29, 29)]",-,0.0,MU,C2.1915,train,essay312,,MU
"Some people argue that , this is a positive change and would help people to easily communicate . Its usage is increasing day by day . Today , English is commonly used language across the world .",Various local languages are becoming extinct ,"[(0, 18), (18, 26), (26, 37)]","[(15, 27)]",-,0.0,MU,C2.911,train,essay151,easily communicate . Its usage is increasing day by day . Today,MU
"Nowadays , the variety of communication systems used widely . More , even if family members who are in different countries , they also can use the Internet to connect each others , especially though the images or videos , they can feel close . As technology develops , it has negative influences in many respects .",Man to man interaction changed,"[(0, 12), (12, 44), (44, 57)]","[(12, 28)]",m1,0.5,SP,C1.3631,train,essay340,"even if family members who are in different countries , they also can use the Internet",SP
"Nowadays information plays an important role in our world . Sometimes it can be really difficult to find out the facts , especially in the internet , that 's why you have to look through different sources before you manage to find some reliable facts . I consider the statement above to be right for several reasons .",Gossip-based information,"[(0, 30), (30, 45), (45, 58)]","[(30, 37)]",m1,0.467,SP,C1.1671,train,essay157,you have to look through different sources,SP
"The modern times have witnessed profound changes in most aspects of life , including the revolution of feminism . To start with , the fairness between males and females is inevitable in such a developed society . Women have been opened up to more chances than ever .",Nowadays there are more opportunities for women than there were in the past,"[(0, 23), (23, 36), (36, 48)]","[(23, 29)]",m1,0.462,SP,C1.734,train,essay069,the fairness between males and females,SP
"Some people would rather watch TV . Most of the novels describe not only main characters but also other people in the novels , where each scene is happening . There are many different opinions regarding hobbies .",Reading fictions is more pleasant,"[(0, 7), (7, 29), (29, 38)]","[(7, 29)]",-,1.0,PM,C1.1577,train,essay150,"Most of the novels describe not only main characters but also other people in the novels , where each scene is happening",PM
"Besides , high school must be responsible for their future with well-planned curriculum . Therefore , schools should be responsible for their future and protect them . Some people state that high schools should allow students to study what they want to .",High schools must be responsible for their future with well-planned curriculum,"[(0, 16), (16, 26), (26, 43)]","[(16, 26)]",-,1.0,PM,C1.1531,train,essay146,schools should be responsible for their future and protect them,PM
"Nowadays the discussion about whether the businesses are supposed to prescribe the retirement age at fifty-five to offer more job vacancies for younger generation has become a controversy . For example , sufficient pension payments and regular medical care should be given and arranged for the senior citizens after they have been imposed to terminate their employment permanently . Some believe that is a perfect attempt to support the young , others claim that this is not the case .",Early retirement for 55+ employees to help younger people,"[(0, 32), (32, 58), (58, 80)]","[(32, 45)]",m1,0.5,SP,C1.1155,test,essay108,sufficient pension payments and regular medical care should be given and arranged for,SP
"Recently , the social environment we lived with busy noises and crowded spaces in case that people pay less attentions on their behaviors and manners . Finally , the society needs a civilized environment and orders . Once a celebrity said : A man 's manner is a mirror that reflects his virtues .",A man 's manner is a mirror that reflects his virtues,"[(0, 28), (28, 36), (36, 54)]","[(21, 36)]",m6,0.375,SP,C1.2446,train,essay239,"their behaviors and manners . Finally , the society needs a civilized environment and orders",SP
"Never in history was advertising industry so developed as in modern society and it has led to some adverse sentiments in public because some deliver exaggerated and fake information . Hence whether we should ban all the advertisements or not has aroused much controversy of the public . However , if those with exaggerated and fake information could be banned , advertisements would be welcomed by more .",Should all the advertisements be banned?,"[(0, 30), (30, 48), (48, 68)]","[(43, 43)]",-,0.0,MU,C2.481,test,essay071,,MU
"Therefore , there is a suggestion that governments should not continue to fund the artists , but they ought to spend money on other necessary subjects such as medical research and space . Nowadays , in order to save as much budget as possible and improve the economy of the country , every government around the world is seeking for some ways to spend wisely . In my view , I firmly disagree with this recommendation due to several reasons .",Funding artists,"[(0, 33), (33, 66), (66, 81)]","[(4, 4)]",-,0.0,MU,C2.721,train,essay116,,MU
"Getting to know the theory in this area seems really important for our students . In today 's community , economy becomes the order of the day . Then , the earlier we jump into this area , the more skillful we will be .",Basic economic class can help the students touch the surface of this field,"[(0, 15), (15, 28), (28, 45)]","[(0, 54)]",-,0.0,MU,C2.1172,train,essay208,"Getting to know the theory in this area seems really important for our students . In today 's community , economy becomes the order of the day . Then , the earlier we jump into this area , the more skillful we will be .",MU
"Nowadays , everyone can see the effect of technology on their life , especially on the way of transportations and communications such as the airplane and the telephone . Not only with the help of sending email , but also using credit cards to pay all necessary fees online . There are lots of other effects of growing technology on transportations and communications , which are mentioned as follows .",Advance in transportation and communication like the airplane and the phone,"[(0, 29), (29, 49), (49, 70)]","[(34, 49)]",m1,0.75,IMP,C1.123,train,essay012,"of sending email , but also using credit cards to pay all necessary fees online",DISP
"Today , close circuit television ( CCTV ) cameras are widely used in a variety of circumstances . Even so , I strongly believe that CCTV cameras should be installed in every premise to combat the ever increasing theft rate and to protect the workers at the workplace . Nevertheless , some argue that these cameras invade their privacies due to constantly being monitored .",Use of CCTV cameras,"[(0, 25), (25, 48), (48, 65)]","[(25, 48)]",-,1.0,PM,C1.910,train,essay085,CCTV cameras should be installed in every premise to combat the ever increasing theft rate and to protect the workers at the workplace,PM
"Some people think that life is a struggle , which means we may encounter numerous difficulties during our lives . As a result , if we do n't have a good stress management skill , it may lead to some critical problems . Here are my reasons .",What is a very important skill a person should learn,"[(0, 24), (24, 42), (42, 48)]","[(14, 42)]",m3,0.643,MISP,C1.1860,train,essay179,"numerous difficulties during our lives . As a result , if we do n't have a good stress management skill , it may lead to some critical problems",DISP
"In both the scenario students relief themselves . Everybody require some break from their tight schedules likewise students also require vacation form their intense academic schedules . Secondly , scientific research provide several authentic survey of the students ' performance after break .",One long vacation or several long vacation,"[(0, 8), (8, 27), (27, 43)]","[(5, 15)]",-,0.0,MU,C2.1819,train,essay300,relief themselves . Everybody require some break from their tight,MU
"Some students believe that they should be required to attend classes while others believe that it is an optional for the students . For instance , some lecturers in our university read the same text in the reference books for that particular course module . University students have different opinion about their attendance to class .",Going to classes should be optional for the students,"[(0, 26), (26, 44), (44, 56)]","[(26, 35)]",m1,0.5,SP,C1.3251,train,essay305,some lecturers in our university read the same text,SP
"Getting the best lessons , besides our abilities to self-study , depends on our teachers a lot . Secondly , at school we study bigger things about sciences and languages , but after school we learn from our parents . Learning is a thing that we do in all of our lives .",Parents are our teachers from the very early time in our life,"[(0, 20), (20, 39), (39, 53)]","[(20, 39)]",-,1.0,PM,C1.3459,train,essay323,"at school we study bigger things about sciences and languages , but after school we learn from our parents",PM
"The first factor considered is the risk of accidents with guns . So the fewer guns possessed , the fewer accidents would happened , our surroundings would be safer with lower accident rates . However , gun control in some countries is relatively loose than others .",Gun control ,"[(0, 13), (13, 33), (33, 47)]","[(13, 23)]",m1,0.5,SP,C1.340,train,essay036,"the fewer guns possessed , the fewer accidents would happened",SP
"And also when you see an airport ? Finally , you have to work hard to learn and to get a lot of information before doing a project in good way . I would explore my primary reasons here .",What's more important: hard work or luck?,"[(0, 10), (10, 31), (31, 40)]","[(10, 20)]",m1,0.476,SP,C1.2664,train,essay257,you have to work hard to learn and to get,SP
"I think that there should be a modification in the salary of professional singers and athletes to balance with those of people in other fields , namely science and society , who are the driving forces for the prosperity of the nation . For example , hardly anyone could play basketball as skillfully as Michael Jordan - a legendary former American player who won several times in the NBA championship . However , that is not equal to their actual contributions to the society .",Whether athletes and singers are overpaid?,"[(0, 46), (46, 70), (70, 85)]","[(51, 70)]",m1,0.792,IMP,C1.1248,train,essay118,as skillfully as Michael Jordan - a legendary former American player who won several times in the NBA championship,DISP
